"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"903321888012738560","","","2017-08-31 18:21:35 +0000","<a href=""http://www.twitpane.com"" rel=""nofollow"">TwitPane Android</a>","寝る","","","",""
"903318697137258496","","","2017-08-31 18:08:54 +0000","<a href=""http://www.twitpane.com"" rel=""nofollow"">TwitPane Android</a>","何がやばいって、中国人だらけそう（）","","","",""
"903318627893428224","","","2017-08-31 18:08:38 +0000","<a href=""http://www.twitpane.com"" rel=""nofollow"">TwitPane Android</a>","上野のヤバそうなカプセル","","","",""
"903317678315548672","","","2017-08-31 18:04:51 +0000","<a href=""http://www.twitpane.com"" rel=""nofollow"">TwitPane Android</a>","もう3時かぁ","","","",""
"903308790115602433","","","2017-08-31 17:29:32 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","やはり東京馬鹿なのか","","","",""
"903308756770947072","","","2017-08-31 17:29:24 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","東京のタクシーだけ謎に迎車料金みんな取るけど、それ廃止して徘徊タクシー99割削減すれば経済的にも環境的にも客的にもタクシードライバー的にもプラスしかなくないか","","","",""
"903308517628534784","","","2017-08-31 17:28:27 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","はー東京タクシー多すぎる","","","",""
"903277591133429760","","","2017-08-31 15:25:34 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","見た目からして美味そうだと思ったけど、やっぱりうめぇ","","","",""
"903274914207023104","","","2017-08-31 15:14:56 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","へっへー晩飯飯テロ https://t.co/AgYdbxaKve","","","","https://twitter.com/mecaota/status/903274914207023104/photo/1"
"903274788134821888","","","2017-08-31 15:14:26 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","高速道路は偉大なり (@ 佐野SA (上り) - @driveplaza in 佐野市, 栃木県) https://t.co/W4FtRPTLWk","","","","https://www.swarmapp.com/c/5DUqHMUhZUt"
